Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Precision,Voltage
BT1,1,Q&J CR2032-BS-6-1,BatteryHolder_Keystone_1060_1x2032,,,,smt,Single-cell battery,C70377,,
"C1, C3, C6, C7",4,4.7uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,,,
"C2, C4, C5, C8",4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,,C1591,10%,50V
D1,1,3V3_POWER_LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,,,,
D2,1,LED_ALIVE,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,smt,,,,
J1,1,BUTTONS,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
J2,1,~,USB-C (only power),,,,smt,,C2927027,,
J3,1,BUTTONS IN BOARD,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
J4,1,hours,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
J5,1,minutes,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
J6,1,seconds,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
J7,1,ST-Link,PinHeader_1x03_P2.54mm_Vertical,,,Yes,tht,"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",,,
"R1, R2, R3, R5, R6, R7",6,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,C23186,,
R4,1,15K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,,C23186,,
SW1,1,RESET_B,SMD BUTTON 5.1x5.1,,,,smt,,,,
SW2,1,MINUTES,SMD BUTTON 5.1x5.1,,,,smt,,,,
SW3,1,HOURS,SMD BUTTON 5.1x5.1,,,,smt,,,,
U1,1,STM32G030F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,,,,smt,"STMicroelectronics Arm Cortex-M0+ MCU, 32KB flash, 8KB RAM, 64 MHz, 2.0-3.6V, 17 GPIO, TSSOP20",,,
U2,1,H7233-1,SOT-23,,,,smt,3.3V LDO,C277859,,
U3,1,DS3231M,SOIC-16W_7.5x10.3mm_P1.27mm,,,,smt,Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16,,,
"mouse-bite-3mm-slot, mouse-bite-3mm-slot",2,VAL**,mouse-bite-3mm-slot,,,,tht,,,,
