Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Q&J CR2032-BS-6-1","BatteryHolder_Keystone_1060_1x2032",195.593000,-99.177000,0.000000,top
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",206.267000,-126.756500,0.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",206.267000,-124.364500,0.000000,top
"C3","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",200.682000,-131.301000,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",200.682000,-129.015000,180.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",186.028000,-135.365000,-90.000000,top
"C6","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",201.586000,-125.644000,90.000000,top
"C7","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",195.363000,-125.840000,-90.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",184.631000,-114.791000,-90.000000,top
"D1","3V3_POWER_LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",193.013000,-125.840000,90.000000,top
"D2","LED_ALIVE","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",209.904000,-111.362000,-90.000000,top
"J2","~","USB-C (only power)",205.000000,-136.000000,0.000000,top
"J3","BUTTONS IN BOARD","JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical",216.000000,-128.500000,90.000000,top
"J4","hours","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",216.000000,-116.000000,90.000000,top
"J5","minutes","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",216.000000,-106.500000,90.000000,top
"J6","seconds","JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical",216.000000,-97.000000,90.000000,top
"J7","ST-Link","PinHeader_1x03_P2.54mm_Vertical",199.505000,-109.711000,90.000000,top
"R1","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",206.729000,-130.412000,-90.000000,top
"R2","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",204.570000,-130.412000,90.000000,top
"R3","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",194.029000,-128.888000,0.000000,top
"R4","15K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",207.618000,-111.362000,90.000000,top
"R5","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",199.276000,-121.402000,-90.000000,top
"R6","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",201.435000,-121.402000,90.000000,top
"R7","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",209.650000,-108.314000,180.000000,top
"SW1","RESET_B","SMD BUTTON 5.1x5.1",191.489000,-136.231000,180.000000,top
"SW2","MINUTES","SMD BUTTON 5.1x5.1",190.000000,-74.000000,-90.000000,top
"SW3","HOURS","SMD BUTTON 5.1x5.1",207.000000,-74.000000,90.000000,top
"U1","STM32G030F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",206.642000,-118.227000,90.000000,top
"U2","H7233-1","SOT-23",198.387000,-125.720000,-90.000000,top
"U3","DS3231M","SOIC-16W_7.5x10.3mm_P1.27mm",191.910000,-116.957000,0.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-slot",207.000000,-81.500000,0.000000,top
"mouse-bite-3mm-slot","VAL**","mouse-bite-3mm-slot",190.000000,-81.500000,0.000000,top
